000553,中加纯债一年C
000554,中国梦灵活配置混合
000556,国投瑞银新机遇灵活配置混合A
000557,国投瑞银新机遇灵活配置混合C
000561,南方启元债券A
000562,南方启元债券C
000563,南方通利债券A
000564,南方通利债券C
000566,华泰柏瑞创新升级混合A
000567,广发聚祥灵活混合
000571,中邮双动力混合
000572,中银多策略混合A
000573,天弘通利混合
000574,宝盈新价值混合A
000577,安信价值精选股票
000578,鑫元恒鑫收益增强债券型发起式A
000579,鑫元恒鑫收益增强债券型发起式C
000583,江信聚福定开债
000584,新华鑫益灵活配置混合
000585,嘉实对冲套利定期混合
000586,景顺长城中小板创业板精选股票
000587,大成灵活配置混合
000589,光大银发商机混合
000590,华安新活力混合
000591,中银健康生活混合
000592,建信改革红利股票
000594,大摩进取优选股票
000595,嘉实泰和混合
000596,前海开源中证军工指数A
000597,中海积极收益混合
000598,长盛生态环境混合
000601,华宝创新优选混合
000603,易方达创新驱动灵活配置混合
000606,天弘优选债券
000609,华商新量化混合
000610,新华阿里一号保本混合
000612,华宝生态中国混合
000613,国寿安保沪深300ETF联接
000619,东方红产业升级混合
000622,华富恒财分级债券
000623,华富恒财定开债C
000624,华富恒财定开债A
000628,大成高新技术产业股票A
000629,圆信永丰纯债A
000630,圆信永丰纯债C
000632,中银聚利半年定开债
000633,中银聚利分级债券B
000634,富国天盛灵活配置基金
000639,宝盈祥瑞混合A
000646,华润元大量化优选混合A
000649,长城久鑫灵活配置
000652,博时裕隆灵活配置混合
000654,华商新锐产业混合
000655,鑫元稳利债券
000656,前海开源沪深300指数
000663,国投瑞银美丽中国混合
000664,国联安通盈混合A
000667,工银绝对收益混合发起A
000668,国寿安保尊享债券A
000669,国寿安保尊享债券C
000672,工银绝对收益混合发起B
000673,融通四季添利债券(LOF)C
000674,中海中短债债券
000679,招商丰利灵活配置混合A
000684,长盛养老健康产业灵活配置混合
000688,景顺长城研究精选股票
000689,前海开源新经济混合
000690,前海开源大海洋混合
000692,汇添富双利债券C
000694,鑫元鸿利债券
000696,汇添富环保行业股票
000697,汇添富移动互联股票
000698,宝盈科技30混合
000706,中邮多策略灵活配置混合
000708,华安安享混合
000711,嘉实医疗保健股票
000714,诺安稳健回报灵活配置混合A
000715,民生加银高等级信用债E
000717,融通转型三动力灵活配置混合A
000720,南方稳利1年定开债C
000723,建信稳定添利债券C
000727,融通健康产业灵活配置混合A/B
000728,工银目标收益一年定开C
000729,建信中小盘先锋股票
000736,诺安聚利债券A
000737,诺安聚利债券C
000739,平安新鑫先锋A
000742,国泰新经济灵活配置混合
000743,红塔红土盛世普益混合发起式
000744,北信瑞丰稳定收益A
000745,北信瑞丰稳定收益C
000746,招商行业精选股票基金
000747,广发逆向策略混合
000749,国金鑫安保本
000751,嘉实新兴产业股票
000752,博时优势收益信用债
000753,华宝量化对冲混合A
000754,华宝量化对冲混合C
000755,富安达新兴成长混合
000756,建信潜力新蓝筹股票
000757,华富智慧城市灵活配置混合
000761,国富健康优质生活股票
000762,汇添富绝对收益定开混合A
000763,工银新财富灵活配置混合
000765,上投摩根岁岁盈定开债B
000766,上投摩根岁岁盈定开债D
000767,华富国泰民安灵活配置混合
000768,长城久盈纯债债券
000769,长城久盈纯债分级债券A
000770,长城久盈纯债分级债券B
000772,景顺长城中国回报灵活配置混合
000774,天弘瑞利分级债券
000775,天弘瑞利分级债券A
000776,天弘瑞利分级债券B
000778,鹏华先进制造股票
000780,鹏华医疗保健股票
000781,国投瑞银岁增利债券A
000782,国投瑞银岁增利债券C
000783,博时季季享持有期A
000784,博时季季享持有期B
000788,前海开源中国成长混合
000791,银华安颐中短债双月持有期债券C
000792,招商定期宝六个月期理财债券
000793,工银高端制造股票
000794,宝盈睿丰创新混合A/B
000796,宝盈睿丰创新混合C
000799,民生加银家盈半年定期宝
000800,华商未来主题混合
000801,中金纯债A
000802,中金纯债C
000803,工银研究精选股票
000804,中信建投稳利混合A
000805,中银新经济灵活配置混合
000808,招商招利1个月期理财债券A
000809,招商招利1个月期理财债券B
000810,富国收益增强债券A
000812,富国收益增强债券C
000813,鑫元合享分级债券
000814,鑫元合享纯债C
000815,鑫元合享纯债A
000822,东海美丽中国灵活配置混合
000823,银华高端制造业混合
000824,圆信永丰双利A
000825,圆信永丰双利C
000826,广发百发100指数A
000827,广发百发100指数E
000828,泰达转型机遇
000831,工银医疗保健股票
000833,易方达富华纯债C
000835,华润元大富时中国A50指数A
000839,上投摩根纯债丰利债券A
000840,上投摩根纯债丰利债券C
000841,富国新回报灵活配置混合A/B
000843,富国新回报灵活配置混合C
000844,南方绝对收益
000845,国投瑞银信息消费混合
000849,汇丰晋信双核策略混合A
000850,汇丰晋信双核策略混合C
000854,鹏华养老产业股票
000859,融通通瑞债券C
000865,大成景利混合
000866,华宝制造股票
000867,华宝品质生活股票
000870,嘉实新收益混合
